ID	CONCEPT	DOCULECT	COUNTERPART	TOKENS
931	(negative suffix or clitic after predicative adjective)	Jamsay_Mondoro	lá	l á
932	(negative suffix or clitic after predicative adjective)	Mombo	lá	l á
933	(negative suffix or clitic after predicative adjective)	Najamba	=ǹdá	ǹ d á
934	(negative suffix or clitic after predicative adjective)	Nanga	ǹdó	ǹ d ó
935	(negative suffix or clitic after predicative adjective)	Penange	yà wǒl	j à # w ǒ l
936	(negative suffix or clitic after predicative adjective)	Perge_Tegu	rá	r á
937	(negative suffix or clitic after predicative adjective)	Tiranige	nà	n à
938	(negative suffix or clitic after predicative adjective)	Tiranige	órâ	ó r â
939	(negative suffix or clitic after predicative adjective)	Togo_Kan	=lá	l á
940	(negative suffix or clitic after predicative adjective)	Tommo_So	lɛ́	l ɛ́
941	(negative suffix or clitic after predicative adjective)	Toro_Tegu	sàrá	s à r á
942	(negative suffix or clitic after predicative adjective)	Yanda_Dom	=lǎ	l ǎ
943	(negative suffix or clitic after predicative adjective)	Yorno_So	lá	l á
944	(negative suffix or clitic after predicative adjective)	Tebul_Ure	=lá	l á
945	(negative suffix or clitic after predicative adjective)	Donno_So	wɔ̀-ĺ	w ɔ̀ l
946	(negative suffix or clitic after predicative adjective)	Donno_So	=lǎ:	l ǎː
947	(not) any	Ampari	tà: bé:	t àː # b éː
948	(not) any	Ben_Tey	kâ:ⁿ	k ã̂ː
949	(not) any	Jamsay_Douentza	kâ:ⁿ	k ã̂ː
950	(not) any	Nanga	kámâ	k á m â
951	(not) any	Nanga	kɔ̀ kámâ	k ɔ̀ # k á m â
952	(not) any	Penange	hál tà:ŋgà	h á l # t àː ŋ ɡ à
953	(not) any	Perge_Tegu	kâ:ⁿ	k ã̂ː
954	(not) any	Tiranige	hàlí	h à l í
955	(not) any	Togo_Kan	pɔ̂:ⁿ	p ɔ̃̂ː
956	(not) any	Toro_Tegu	kálá:	k á l áː
957	(not) any	Yanda_Dom	kámá	k á m á
958	(not) any	Yorno_So	kâ:ⁿ	k ã̂ː
959	(not) any	Donno_So	túrù-lɔ̀	t ú r ù l ɔ̀
960	(passive suffix or clitic)	Ben_Tey	yɛ́y	j ɛ́ j
961	(passive suffix or clitic)	Ben_Tey	wú	w ú
962	(passive suffix or clitic)	Bunoge	é: bò	éː # b ò
963	(passive suffix or clitic)	Bunoge	ɛ́: bò	ɛ́ː # b ò
964	(passive suffix or clitic)	Bunoge	í: bò	íː # b ò
965	(passive suffix or clitic)	Bunoge	mì	m ì
966	(passive suffix or clitic)	Jamsay_Douentza	wv́	w v́
967	(passive suffix or clitic)	Najamba	à:=y	àː j
968	(passive suffix or clitic)	Nanga	yɛ́	j ɛ́
969	(passive suffix or clitic)	Penange	é: bò	éː # b ò
970	(passive suffix or clitic)	Penange	ɛ́: bò	ɛ́ː # b ò
971	(passive suffix or clitic)	Penange	í: bò	íː # b ò
972	(passive suffix or clitic)	Penange	mû:	m ûː
973	(passive suffix or clitic)	Togo_Kan	mv	m v
974	(passive suffix or clitic)	Toro_Tegu	mv́	m v́
975	(passive suffix or clitic)	Yanda_Dom	mɛ́	m ɛ́
976	(passive suffix or clitic)	Yorno_So	mɔ́	m ɔ́
977	(passive suffix or clitic)	Donno_So	-mv	m v
978	(Past morpheme, conjugatable)	Ben_Tey	=bɛ	b ɛ
979	(Past morpheme, conjugatable)	Najamba	=bɛ	b ɛ
980	(Past morpheme, conjugatable)	Nanga	=bɛ	b ɛ
981	(Past morpheme, conjugatable)	Tiranige	ɛ	ɛ
982	(Past morpheme, conjugatable)	Tiranige	ye	j e
983	(Past morpheme, conjugatable)	Yanda_Dom	=bɛ	b ɛ
984	(Past morpheme, conjugatable)	Yorno_So	=bé	b é
985	(Past morpheme, conjugatable)	Tebul_Ure	=bì-	b ì
986	(Past morpheme, conjugatable)	Donno_So	=be-	b e
987	(Past morpheme, invariant)	Ampari	wɛ́	w ɛ́
988	(Past morpheme, invariant)	Bunoge	mbɛ̀	m b ɛ̀
989	(Past morpheme, invariant)	Bunoge	wɛ̀	w ɛ̀
990	(Past morpheme, invariant)	Jamsay_Douentza	jì:ⁿ	dʒ ĩ̀ː
991	(Past morpheme, invariant)	Jamsay_Douentza	jǐ:ⁿ	dʒ ĩ̌ː
992	(Past morpheme, invariant)	Penange	yè	j è
993	(Past morpheme, invariant)	Tomo_Kan_Segue	=wⁿ	w̃
994	(Past morpheme, invariant)	Toro_Tegu	nɔ̀	n ɔ̀
995	(perfective negative suffix)	Ampari	rí	r í
996	(perfective negative suffix)	Ben_Tey	rí	r í
997	(perfective negative suffix)	Bunoge	lì	l ì
998	(perfective negative suffix)	Jamsay_Douentza	lí	l í
999	(perfective negative suffix)	Jamsay_Mondoro	lí	l í
1000	(perfective negative suffix)	Mombo	lì	l ì
1001	(perfective negative suffix)	Najamba	l	l
1002	(perfective negative suffix)	Nanga	rí	r í
1003	(perfective negative suffix)	Penange	l	l
1004	(perfective negative suffix)	Perge_Tegu	rí	r í
1005	(perfective negative suffix)	Tiranige	nì	n ì
1006	(perfective negative suffix)	Togo_Kan	lí	l í
1007	(perfective negative suffix)	Tommo_So	lí	l í
1008	(perfective negative suffix)	Toro_Tegu	lí	l í
1009	(perfective negative suffix)	Toro_Tegu	rí	r í
1010	(perfective negative suffix)	Yanda_Dom	li	l i
1011	(perfective negative suffix)	Yorno_So	l	l
1012	(perfective negative suffix)	Donno_So	-lí	l í
1013	(perfective-2, e.g. -so/-sa/-sɛ)	Ben_Tey	sô	s ô
1014	(perfective-2, e.g. -so/-sa/-sɛ)	Jamsay_Douentza	sà	s à
1015	(perfective-2, e.g. -so/-sa/-sɛ)	Najamba	jò	dʒ ò
1016	(perfective-2, e.g. -so/-sa/-sɛ)	Najamba	jògâ:	dʒ ò ɡ âː
1017	(perfective-2, e.g. -so/-sa/-sɛ)	Nanga	só	s ó
1018	(perfective-2, e.g. -so/-sa/-sɛ)	Perge_Tegu	sà	s à
1019	(perfective-2, e.g. -so/-sa/-sɛ)	Tiranige	sà	s à
1020	(perfective-2, e.g. -so/-sa/-sɛ)	Tomo_Kan_Segue	sá	s á
1021	(perfective-2, e.g. -so/-sa/-sɛ)	Toro_Tegu	sv́	s v́
1022	(perfective-2, e.g. -so/-sa/-sɛ)	Yanda_Dom	zò	z ò
1023	(perfective-2, e.g. -so/-sa/-sɛ)	Tebul_Ure	-sɔ̀-	s ɔ̀
1024	(perfective-2, e.g. -so/-sa/-sɛ)	Donno_So	sɛ̀	s ɛ̀
1025	(person, animal, tree, etc.) be in (sth)	Jamsay_Douentza	yɔ́≡kùn	j ɔ́ k ù n
1026	(person, animal, tree, etc.) be in (sth)	Najamba	túnò	t ú n ò
1027	(person, animal, tree, etc.) be in (sth)	Nanga	yá kùrⁿò	j á # k ù r̃ ò
1028	(person, animal, tree, etc.) be in (sth)	Perge_Tegu	yá≡kùn	j á k ù n
1029	(person, animal, tree, etc.) be in (sth)	Tebul_Ure	yé tùnà	j é # t ù n à
1030	(person, animal, tree, etc.) be in (sth)	Yanda_Dom	yà kún	j à # k ú n
1031	(person, animal, tree, etc.) be in (sth)	Yanda_Dom	kùn	k ù n
1032	(person, animal, tree, etc.) be in (sth)	Yorno_So	yá tò	j á # t ò
1033	(plant) sprout, come up (verb)	Bangime	púr̃á	p ú r̃ á
1034	(plant) sprout, come up (verb)	Bankan_Tey	tíyɛ́	t í j ɛ́
1035	(plant) sprout, come up (verb)	Ben_Tey	tíyɛ́	t í j ɛ́
1036	(plant) sprout, come up (verb)	Bunoge	pújè	p ú dʒ è
1037	(plant) sprout, come up (verb)	Dogul_Dom	tìyɛ́	t ì j ɛ́
1038	(plant) sprout, come up (verb)	Gourou	tɔ́gɔ́	t ɔ́ ɡ ɔ́
1039	(plant) sprout, come up (verb)	Jamsay_Douentza	tɔ́ɣɔ́	t ɔ́ ɣ ɔ́
1040	(plant) sprout, come up (verb)	Mombo	kɛ́lɛ́	k ɛ́ l ɛ́
1041	(plant) sprout, come up (verb)	Najamba	tɛ́:	t ɛ́ː
1042	(plant) sprout, come up (verb)	Najamba	tɛ̀:	t ɛ̀ː
1043	(plant) sprout, come up (verb)	Nanga	tɛ́:	t ɛ́ː
1044	(plant) sprout, come up (verb)	Penange	kɛ́lɛ́	k ɛ́ l ɛ́
1045	(plant) sprout, come up (verb)	Perge_Tegu	tɔ́gɔ́	t ɔ́ ɡ ɔ́
1046	(plant) sprout, come up (verb)	Tebul_Ure	tɛ́	t ɛ́
1047	(plant) sprout, come up (verb)	Tiranige	sɔ́wɔ́	s ɔ́ w ɔ́
1048	(plant) sprout, come up (verb)	Togo_Kan	tɔ́:	t ɔ́ː
1049	(plant) sprout, come up (verb)	Tommo_So	sɔ́bɔ́	s ɔ́ b ɔ́
1050	(plant) sprout, come up (verb)	Tommo_So	túmmɔ́	t ú m m ɔ́
1051	(plant) sprout, come up (verb)	Tomo_Kan_Segue	twɛ́bɛ́	t w ɛ́ b ɛ́
1052	(plant) sprout, come up (verb)	Toro_Tegu	bɛ̌w	b ɛ̌ w
1053	(plant) sprout, come up (verb)	Toro_Tegu	bɛ̀wá	b ɛ̀ w á
1054	(plant) sprout, come up (verb)	Yanda_Dom	tɛ́yálì	t ɛ́ j á l ì
1055	(plant) sprout, come up (verb)	Yanda_Dom	tɛ́:	t ɛ́ː
1056	(plant) sprout, come up (verb)	Yorno_So	tɛ́:	t ɛ́ː
1057	(plant) sprout, come up (verb)	Donno_So	tɛ̂:	t ɛ̂ː
1058	(plant) sprout, come up (verb)	Donno_So	tɛ́-ɛ̀	t ɛ́ ɛ̀
1059	(plant) sprout, come up (verb)	Donno_So	púdò	p ú d ò
1060	(plant) sprout, come up (verb)	Donno_So	púd-è	p ú d è
1061	(plural, free particle, not suffix)	Ampari	ge	ɡ e
1062	(plural, free particle, not suffix)	Ben_Tey	bè	b è
1063	(plural, free particle, not suffix)	Bunoge	gè	ɡ è
1064	(plural, free particle, not suffix)	Jamsay_Douentza	bé	b é
1065	(plural, free particle, not suffix)	Penange	gé	ɡ é
1066	(plural, free particle, not suffix)	Togo_Kan	bè	b è
1067	(plural, free particle, not suffix)	Togo_Kan	nà	n à
1068	(plural, free particle, not suffix)	Tomo_Kan_Segue	wé	w é
1069	(plural, free particle, not suffix)	Toro_Tegu	mǎ:	m ǎː
1070	(plural, free particle, not suffix)	Yorno_So	bé	b é
1071	(plural, free particle, not suffix)	Donno_So	-mbe	m b e
1072	(political) chief, boss	Bangime	déɡè ʃíjɛ̀ⁿ	d é ɡ è # ʃ í dʒ ɛ̃̀
1073	(political) chief, boss	Bankan_Tey	ámbí:rì	á m b íː r ì
1074	(political) chief, boss	Ben_Tey	ámbí:rù	á m b íː r ù
1075	(political) chief, boss	Bunoge	ʔàmì:rú	ʔ à m ìː r ú
1076	(political) chief, boss	Dogul_Dom	ámɛ̀ɛ̀rɛ̀	á m ɛ̀ː r ɛ̀
1077	(political) chief, boss	Gourou	ámí:rù	á m íː r ù
1078	(political) chief, boss	Jamsay_Douentza	ámí:rⁿu	á m íː r̃ u
1079	(political) chief, boss	Mombo	ámílì	á m í l ì
1080	(political) chief, boss	Najamba	ámbìrì	á m b ì r ì
1081	(political) chief, boss	Najamba	ámbìrìmbò	á m b ì r ì m b ò
1082	(political) chief, boss	Najamba	kî:	k îː
1083	(political) chief, boss	Najamba	kî:mbò	k îː m b ò
1084	(political) chief, boss	Nanga	ámbérì	á m b é r ì
1085	(political) chief, boss	Penange	kó:	k óː
1086	(political) chief, boss	Perge_Tegu	ámírù	á m í r ù
1087	(political) chief, boss	Sangha_So	kúúnó	k úː n ó
1088	(political) chief, boss	Tebul_Ure	ámbírí	á m b í r í
1089	(political) chief, boss	Tebul_Ure	ámbírímbò	á m b í r í m b ò
1090	(political) chief, boss	Tiranige	àmìrí	à m ì r í
1091	(political) chief, boss	Togo_Kan	ámírⁿí	á m í r̃ í
1092	(political) chief, boss	Tommo_So	díɛ̀m	d í ɛ̀ m
1093	(political) chief, boss	Tommo_So	díɛ̀nɛ̀	d í ɛ̀ n ɛ̀
1094	(political) chief, boss	Tommo_So	kùù bàŋáá	k ùː # b à ŋ áː
1095	(political) chief, boss	Tommo_So	pàtrɔ́	p à t r ɔ́
1096	(political) chief, boss	Toro_Tegu	kú bàsà	k ú # b à s à
1097	(political) chief, boss	Yanda_Dom	ámìrù	á m ì r ù
1098	(political) chief, boss	Yanda_Dom	kó bádù	k ó # b á d ù
1099	(political) chief, boss	Yorno_So	ámìrù	á m ì r ù
1100	(political) chief, boss	Donno_So	kû:-nɔ̀	k ûː n ɔ̀
1101	(political) chief, boss	Donno_So	kû: bàŋá	k ûː # b à ŋ á
1102	(political) chief, boss	Donno_So	ámì:rù	á m ìː r ù
1103	(present negative suffix)	Najamba	ndì	n d ì
1104	(present positive suffix, not also future)	Najamba	njò	n dʒ ò
1105	(present positive suffix, not also future)	Toro_Tegu	á rv̀	á # r v̀
1106	(prohibitive Sg suffix)	Ampari	rù	r ù
1107	(prohibitive Sg suffix)	Ben_Tey	rɛ́	r ɛ́
1108	(prohibitive Sg suffix)	Bunoge	ndà	n d à
1109	(prohibitive Sg suffix)	Jamsay_Douentza	ý	j́
1110	(prohibitive Sg suffix)	Najamba	là	l à
1111	(prohibitive Sg suffix)	Nanga	rá	r á
1112	(prohibitive Sg suffix)	Penange	ndá	n d á
1113	(prohibitive Sg suffix)	Perge_Tegu	rɛ́	r ɛ́
1114	(prohibitive Sg suffix)	Tebul_Ure	lì	l ì
1115	(prohibitive Sg suffix)	Tiranige	lâ	l â
1116	(prohibitive Sg suffix)	Togo_Kan	lé	l é
1117	(prohibitive Sg suffix)	Tomo_Kan_Segue	lé	l é
1118	(prohibitive Sg suffix)	Toro_Tegu	kú	k ú
1119	(prohibitive Sg suffix)	Toro_Tegu	lé	l é
1120	(prohibitive Sg suffix)	Toro_Tegu	lɛ́	l ɛ́
1121	(prohibitive Sg suffix)	Toro_Tegu	ré	r é
1122	(prohibitive Sg suffix)	Toro_Tegu	rɛ́	r ɛ́
1123	(prohibitive Sg suffix)	Yanda_Dom	la	l a
1124	(prohibitive Sg suffix)	Yorno_So	nɔ̀ŋ	n ɔ̀ ŋ
1125	(prohibitive Sg suffix)	Donno_So	-ẃ	ẃ
1126	(prohibitive Sg suffix)	Donno_So	-nǎw	n ǎ w
1127	(quotative particle following the subject of a quoted sentence)	Ben_Tey	má:	m áː
1128	(quotative particle following the subject of a quoted sentence)	Ben_Tey	mà:	m àː
1129	(quotative particle following the subject of a quoted sentence)	Najamba	wa	w a
1130	(quotative particle following the subject of a quoted sentence)	Nanga	wa	w a
1131	(quotative particle following the subject of a quoted sentence)	Tiranige	wà	w à
1132	(quotative particle following the subject of a quoted sentence)	Togo_Kan	wà	w à
1133	(quotative particle following the subject of a quoted sentence)	Yanda_Dom	wá:	w áː
1134	(quotative particle following the subject of a quoted sentence)	Dogul_Dom	wà:	w àː
1135	(quotative particle following the subject of a quoted sentence)	Donno_So	wa	w a
1136	(quotative particle: indicate if not clause-final)	Bankan_Tey	wa	w a
1137	(quotative particle: indicate if not clause-final)	Ben_Tey	wa	w a
1138	(quotative particle: indicate if not clause-final)	Dogul_Dom	wá	w á
1139	(quotative particle: indicate if not clause-final)	Jamsay_Douentza	wa	w a
1140	(quotative particle: indicate if not clause-final)	Jamsay_Mondoro	wa	w a
1141	(quotative particle: indicate if not clause-final)	Mombo	wâ:	w âː
1142	(quotative particle: indicate if not clause-final)	Najamba	wa	w a
1143	(quotative particle: indicate if not clause-final)	Nanga	wa	w a
1144	(quotative particle: indicate if not clause-final)	Penange	wá	w á
1145	(quotative particle: indicate if not clause-final)	Perge_Tegu	wa	w a
1146	(quotative particle: indicate if not clause-final)	Tebul_Ure	wa	w a
1147	(quotative particle: indicate if not clause-final)	Tiranige	wà	w à
1148	(quotative particle: indicate if not clause-final)	Togo_Kan	gì	ɡ ì
1149	(quotative particle: indicate if not clause-final)	Tommo_So	sɔ̀mmíyé	s ɔ̀ m m í j é
1150	(quotative particle: indicate if not clause-final)	Tommo_So	tígɛ́	t í ɡ ɛ́
1151	(quotative particle: indicate if not clause-final)	Toro_Tegu	ká	k á
1152	(quotative particle: indicate if not clause-final)	Yanda_Dom	wa	w a
1153	(quotative particle: indicate if not clause-final)	Yorno_So	gì	ɡ ì
1154	(quotative particle: indicate if not clause-final)	Yorno_So	ɔ̀:	ɔ̀ː
1155	(quotative particle: indicate if not clause-final)	Donno_So	wa	w a
1156	(rain) fall (verb only)	Bangime	ʒóɔ̀ⁿ	ʒ ó ɔ̃̀
1157	(rain) fall (verb only)	Bankan_Tey	mìrⁿɛ́	m ì r̃ ɛ́
1158	(rain) fall (verb only)	Ben_Tey	mìrⁿɛ́	m ì r̃ ɛ́
1159	(rain) fall (verb only)	Bunoge	ɲî:	ɲ îː
1160	(rain) fall (verb only)	Dogul_Dom	wɛ̀ɛ́	w ɛ̌ː
1161	(rain) fall (verb only)	Gourou	mìrⁿé	m ì r̃ é
1162	(rain) fall (verb only)	Jamsay_Douentza	mìrⁿé	m ì r̃ é
1163	(rain) fall (verb only)	Mombo	píjé	p í dʒ é
1164	(rain) fall (verb only)	Najamba	tɛ́gɛ́	t ɛ́ ɡ ɛ́
1165	(rain) fall (verb only)	Nanga	mìrⁿé	m ì r̃ é
1166	(rain) fall (verb only)	Nanga	wɔ̌:	w ɔ̌ː
1167	(rain) fall (verb only)	Penange	wwɛ́:	w w ɛ́ː
1168	(rain) fall (verb only)	Perge_Tegu	mìrⁿé	m ì r̃ é
1169	(rain) fall (verb only)	Sangha_So	mìwɔ́	m ì w ɔ́
1170	(rain) fall (verb only)	Tebul_Ure	mìrⁿɛ́	m ì r̃ ɛ́
1171	(rain) fall (verb only)	Tiranige	tɛ́gɔ́	t ɛ́ ɡ ɔ́
1172	(rain) fall (verb only)	Togo_Kan	lɔ́wɔ́	l ɔ́ w ɔ́
1173	(rain) fall (verb only)	Tommo_So	mìyɛ́	m ì j ɛ́
1174	(rain) fall (verb only)	Toro_Tegu	mùrɔ́	m ù r ɔ́
1175	(rain) fall (verb only)	Toro_Tegu	mùrú	m ù r ú
1176	(rain) fall (verb only)	Yanda_Dom	tɛ́gɛ́	t ɛ́ ɡ ɛ́
1177	(rain) fall (verb only)	Yorno_So	mɛ̌:	m ɛ̌ː
1178	(rain) fall (verb only)	Donno_So	mɛ̌:	m ɛ̌ː
1179	(rain) fall (verb only)	Donno_So	mɛ́-ɛ̀	m ɛ́ ɛ̀
1180	(reflexive object)	Ampari	ìŋ gí	ì ŋ # ɡ í
1181	(reflexive object)	Bankan_Tey	á kû:	á # k ûː
1182	(reflexive object)	Ben_Tey	á	á
1183	(reflexive object)	Ben_Tey	á kû:	á # k ûː
1184	(reflexive object)	Bunoge	ŋgù	ŋ ɡ ù
1185	(reflexive object)	Jamsay_Douentza	ìnìwⁿé	ì n ì w̃ é
1186	(reflexive object)	Jamsay_Mondoro	ìnìwⁿé	ì n ì w̃ é
1187	(reflexive object)	Mombo	kó: nà	k óː # n à
1188	(reflexive object)	Najamba	mó kì:	m ó # k ìː
1189	(reflexive object)	Nanga	áŋ	á ŋ
1190	(reflexive object)	Perge_Tegu	ɛ̀lɛ́	ɛ̀ l ɛ́
1191	(reflexive object)	Tebul_Ure	á	á
1192	(reflexive object)	Togo_Kan	sǎⁿ	s ã̌
1193	(reflexive object)	Tommo_So	kúú	k úː
1194	(reflexive object)	Toro_Tegu	kú mà	k ú # m à
1195	(reflexive object)	Yanda_Dom	kóàŋ	k ó à ŋ
1196	(reflexive object)	Yorno_So	kû:	k ûː
1197	(reflexive object)	Penange	kò: ŋ	k òː # ŋ
1198	(reflexive possessor, 3Sg but not 1st/2nd persons)	Ampari	ǹ	ǹ
1199	(reflexive possessor, 3Sg but not 1st/2nd persons)	Bankan_Tey	á	á
1200	(reflexive possessor, 3Sg but not 1st/2nd persons)	Ben_Tey	á	á
1201	(reflexive possessor, 3Sg but not 1st/2nd persons)	Jamsay_Douentza	ɛ̀nɛ́ mà	ɛ̀ n ɛ́ # m à
1202	(reflexive possessor, 3Sg but not 1st/2nd persons)	Jamsay_Douentza	ìnɛ́ mà	ì n ɛ́ # m à
1203	(reflexive possessor, 3Sg but not 1st/2nd persons)	Mombo	nà	n à
1204	(reflexive possessor, 3Sg but not 1st/2nd persons)	Najamba	mó kì:	m ó # k ìː
1205	(reflexive possessor, 3Sg but not 1st/2nd persons)	Nanga	á	á
1206	(reflexive possessor, 3Sg but not 1st/2nd persons)	Nanga	á gɔ̀	á # ɡ ɔ̀
1207	(reflexive possessor, 3Sg but not 1st/2nd persons)	Perge_Tegu	ɛ̀lɛ́ wà	ɛ̀ l ɛ́ # w à
1208	(reflexive possessor, 3Sg but not 1st/2nd persons)	Tebul_Ure	ágá	á ɡ á
1209	(reflexive possessor, 3Sg but not 1st/2nd persons)	Tommo_So	ńdɛ́mmɔ̀	ń d ɛ́ m m ɔ̀
1210	(reflexive possessor, 3Sg but not 1st/2nd persons)	Yanda_Dom	á	á
1211	(reflexive possessor, for all pronominal categories)	Mombo	há:nù kání	h áː n ù # k á n í
1212	(reflexive possessor, for all pronominal categories)	Togo_Kan	sǎⁿ	s ã̌
1213	(reflexive possessor, for all pronominal categories)	Toro_Tegu	mà	m à
1214	(relative morpheme attached to head NP)	Ben_Tey	kà:ⁿ	k ã̀ː
1215	(relative morpheme attached to head NP)	Tiranige	árí	á r í
1216	(relative morpheme attached to head NP)	Toro_Tegu	kà:	k àː
1217	(relative morpheme, clause-final)	Toro_Tegu	ŋ́	ŋ́
1218	(reversive suffix, with minor variants parenthesized)	Ampari	rɛ́	r ɛ́
1219	(reversive suffix, with minor variants parenthesized)	Ben_Tey	rv́	r v́
1220	(reversive suffix, with minor variants parenthesized)	Bunoge	lv̀	l v̀
1221	(reversive suffix, with minor variants parenthesized)	Jamsay_Douentza	rv́	r v́
1222	(reversive suffix, with minor variants parenthesized)	Najamba	l	l
1223	(reversive suffix, with minor variants parenthesized)	Najamba	lɛ́	l ɛ́
1224	(reversive suffix, with minor variants parenthesized)	Nanga	rí	r í
1225	(reversive suffix, with minor variants parenthesized)	Penange	lv	l v
1226	(reversive suffix, with minor variants parenthesized)	Perge_Tegu	rv́	r v́
1227	(reversive suffix, with minor variants parenthesized)	Tebul_Ure	lí	l í
1228	(reversive suffix, with minor variants parenthesized)	Tiranige	ló	l ó
1229	(reversive suffix, with minor variants parenthesized)	Tiranige	lɔ́	l ɔ́
1230	(reversive suffix, with minor variants parenthesized)	Togo_Kan	rv	r v
1231	(reversive suffix, with minor variants parenthesized)	Tomo_Kan_Segue	lí	l í
1232	(reversive suffix, with minor variants parenthesized)	Toro_Tegu	rv́	r v́
1233	(reversive suffix, with minor variants parenthesized)	Yanda_Dom	lv́	l v́
1234	(reversive suffix, with minor variants parenthesized)	Yorno_So	lv́	l v́
1235	(reversive suffix, with minor variants parenthesized)	Mombo	-le 	l e # �
1236	(reversive suffix, with minor variants parenthesized)	Mombo	 -lɛ	� # l ɛ
1237	(reversive suffix, with minor variants parenthesized)	Donno_So	-lv	l v
1238	(sb or sth) be (somewhere)	Ampari	bó	b ó
1239	(sb or sth) be (somewhere)	Bankan_Tey	bù	b ù
1240	(sb or sth) be (somewhere)	Ben_Tey	bù	b ù
1241	(sb or sth) be (somewhere)	Bunoge	bò	b ò
1242	(sb or sth) be (somewhere)	Dogul_Dom	bìyɛ́	b ì j ɛ́
1243	(sb or sth) be (somewhere)	Mombo	bó:	b óː
1244	(sb or sth) be (somewhere)	Mombo	túlá	t ú l á
1245	(sb or sth) be (somewhere)	Najamba	bó	b ó
1246	(sb or sth) be (somewhere)	Nanga	bù	b ù
1247	(sb or sth) be (somewhere)	Penange	bó	b ó
1248	(sb or sth) be (somewhere)	Tebul_Ure	bù	b ù
1249	(sb or sth) be (somewhere)	Tiranige	bò	b ò
1250	(sb or sth) be (somewhere)	Tiranige	wò	w ò
1251	(sb or sth) be (somewhere)	Toro_Tegu	á dà	á # d à
1252	(sb or sth) be (somewhere)	Yanda_Dom	bò	b ò
1253	(sb or sth) be (somewhere)	Donno_So	wɔ̀	w ɔ̀
1254	(sb, mammal) bite (sb)	Ampari	dígò	d í ɡ ò
1255	(sb, mammal) bite (sb)	Bangime	támbà/táw̃à	t á m b à t á w̃ à
1256	(sb, mammal) bite (sb)	Bankan_Tey	kúwó	k ú w ó
1257	(sb, mammal) bite (sb)	Ben_Tey	kúwó	k ú w ó
1258	(sb, mammal) bite (sb)	Bunoge	núnjè	n ú n dʒ è
1259	(sb, mammal) bite (sb)	Gourou	kɛ́rɛ́	k ɛ́ r ɛ́
1260	(sb, mammal) bite (sb)	Jamsay_Douentza	cɛ́rɛ́	tʃ ɛ́ r ɛ́
1261	(sb, mammal) bite (sb)	Jamsay_Mondoro	cɛ́rɛ́	tʃ ɛ́ r ɛ́
1262	(sb, mammal) bite (sb)	Mombo	núŋgɛ́	n ú ŋ ɡ ɛ́
1263	(sb, mammal) bite (sb)	Najamba	kɛ́rɛ́	k ɛ́ r ɛ́
1264	(sb, mammal) bite (sb)	Nanga	kúwó	k ú w ó
1265	(sb, mammal) bite (sb)	Penange	núŋgɛ́	n ú ŋ ɡ ɛ́
1266	(sb, mammal) bite (sb)	Perge_Tegu	kɛ́rɛ́	k ɛ́ r ɛ́
1267	(sb, mammal) bite (sb)	Sangha_So	kɛ́rú	k ɛ́ r ú
1268	(sb, mammal) bite (sb)	Tebul_Ure	cɛ́rɛ́	tʃ ɛ́ r ɛ́
1269	(sb, mammal) bite (sb)	Tiranige	cɛ́rɔ́	tʃ ɛ́ r ɔ́
1270	(sb, mammal) bite (sb)	Togo_Kan	kɛ́rɛ́	k ɛ́ r ɛ́
1271	(sb, mammal) bite (sb)	Tommo_So	kɛ́rɛ́	k ɛ́ r ɛ́
1272	(sb, mammal) bite (sb)	Toro_Tegu	cɛ́rá	tʃ ɛ́ r á
1273	(sb, mammal) bite (sb)	Toro_Tegu	cɛ́rú	tʃ ɛ́ r ú
1274	(sb, mammal) bite (sb)	Yanda_Dom	kɛ́dálì	k ɛ́ d á l ì
1275	(sb, mammal) bite (sb)	Yanda_Dom	kɛ́dɛ́	k ɛ́ d ɛ́
1276	(sb, mammal) bite (sb)	Yorno_So	kɛ́rɛ́	k ɛ́ r ɛ́
1277	(sb, mammal) bite (sb)	Donno_So	kɛ́rɛ̀	k ɛ́ r ɛ̀
1278	(sb, mammal) bite (sb)	Donno_So	kɛ́r-ɛ̀	k ɛ́ r ɛ̀
1279	(sb, sth) be on (e.g. roof, tree)	Jamsay_Douentza	nà:	n àː
1280	(sb, sth) be on (e.g. roof, tree)	Jamsay_Mondoro	nà:	n àː
1281	(sb, sth) be on (e.g. roof, tree)	Najamba	ságà	s á ɡ à
1282	(sb, sth) be on (e.g. roof, tree)	Nanga	yá nàŋà	j á # n à ŋ à
1283	(sb, sth) be on (e.g. roof, tree)	Perge_Tegu	yá nàŋgà	j á # n à ŋ ɡ à
1284	(sb, sth) be on (e.g. roof, tree)	Tebul_Ure	yé nàŋgà	j é # n à ŋ ɡ à
1285	(sb, sth) be on (e.g. roof, tree)	Tiranige	dáŋgà	d á ŋ ɡ à
1286	(sb, sth) be on (e.g. roof, tree)	Tiranige	dáŋgíyó	d á ŋ ɡ í j ó
1287	(sb, sth) be on (e.g. roof, tree)	Togo_Kan	náŋà	n á ŋ à
1288	(sb, sth) be on (e.g. roof, tree)	Tommo_So	wɔ̂	w ɔ̂
1289	(sb, sth) be on (e.g. roof, tree)	Yanda_Dom	yà nàŋá	j à # n à ŋ á
1290	(sb, sth) be on (e.g. roof, tree)	Yorno_So	yàŋà	j à ŋ à
1291	(sb, sth) be on (e.g. roof, tree)	Dogul_Dom	yè náŋà	j è # n á ŋ à
