ID,CONCEPT,DOCULECT,COUNTERPART
1166,(rain) fall (verb only),Nanga,wɔ̌:
1167,(rain) fall (verb only),Penange,wwɛ́:
1168,(rain) fall (verb only),Perge_Tegu,mìrⁿé
1169,(rain) fall (verb only),Sangha_So,mìwɔ́
1170,(rain) fall (verb only),Tebul_Ure,mìrⁿɛ́
1171,(rain) fall (verb only),Tiranige,tɛ́gɔ́
1172,(rain) fall (verb only),Togo_Kan,lɔ́wɔ́
1173,(rain) fall (verb only),Tommo_So,mìyɛ́
1174,(rain) fall (verb only),Toro_Tegu,mùrɔ́
1175,(rain) fall (verb only),Toro_Tegu,mùrú
1176,(rain) fall (verb only),Yanda_Dom,tɛ́gɛ́
1177,(rain) fall (verb only),Yorno_So,mɛ̌:
1178,(rain) fall (verb only),Donno_So,mɛ̌:
1179,(rain) fall (verb only),Donno_So,mɛ́-ɛ̀
1180,(reflexive object),Ampari,ìŋ gí
1181,(reflexive object),Bankan_Tey,á kû:
1182,(reflexive object),Ben_Tey,á
1183,(reflexive object),Ben_Tey,á kû:
1184,(reflexive object),Bunoge,ŋgù
1185,(reflexive object),Jamsay_Douentza,ìnìwⁿé
1186,(reflexive object),Jamsay_Mondoro,ìnìwⁿé
1187,(reflexive object),Mombo,kó: nà
1188,(reflexive object),Najamba,mó kì:
1189,(reflexive object),Nanga,áŋ
1190,(reflexive object),Perge_Tegu,ɛ̀lɛ́
1191,(reflexive object),Tebul_Ure,á
1192,(reflexive object),Togo_Kan,sǎⁿ
1193,(reflexive object),Tommo_So,kúú
1194,(reflexive object),Toro_Tegu,kú mà
1195,(reflexive object),Yanda_Dom,kóàŋ
1196,(reflexive object),Yorno_So,kû:
1197,(reflexive object),Penange,kò: ŋ
1198,"(reflexive possessor, 3Sg but not 1st/2nd persons)",Ampari,ǹ
1199,"(reflexive possessor, 3Sg but not 1st/2nd persons)",Bankan_Tey,á
1200,"(reflexive possessor, 3Sg but not 1st/2nd persons)",Ben_Tey,á
1201,"(reflexive possessor, 3Sg but not 1st/2nd persons)",Jamsay_Douentza,ɛ̀nɛ́ mà
1202,"(reflexive possessor, 3Sg but not 1st/2nd persons)",Jamsay_Douentza,ìnɛ́ mà
1203,"(reflexive possessor, 3Sg but not 1st/2nd persons)",Mombo,nà
1204,"(reflexive possessor, 3Sg but not 1st/2nd persons)",Najamba,mó kì:
1205,"(reflexive possessor, 3Sg but not 1st/2nd persons)",Nanga,á
1206,"(reflexive possessor, 3Sg but not 1st/2nd persons)",Nanga,á gɔ̀
1207,"(reflexive possessor, 3Sg but not 1st/2nd persons)",Perge_Tegu,ɛ̀lɛ́ wà
1208,"(reflexive possessor, 3Sg but not 1st/2nd persons)",Tebul_Ure,ágá
1209,"(reflexive possessor, 3Sg but not 1st/2nd persons)",Tommo_So,ńdɛ́mmɔ̀
1210,"(reflexive possessor, 3Sg but not 1st/2nd persons)",Yanda_Dom,á
1211,"(reflexive possessor, for all pronominal categories)",Mombo,há:nù kání
1212,"(reflexive possessor, for all pronominal categories)",Togo_Kan,sǎⁿ
1213,"(reflexive possessor, for all pronominal categories)",Toro_Tegu,mà
1214,(relative morpheme attached to head NP),Ben_Tey,kà:ⁿ
1215,(relative morpheme attached to head NP),Tiranige,árí
1216,(relative morpheme attached to head NP),Toro_Tegu,kà:
1217,"(relative morpheme, clause-final)",Toro_Tegu,ŋ́
1218,"(reversive suffix, with minor variants parenthesized)",Ampari,rɛ́
1219,"(reversive suffix, with minor variants parenthesized)",Ben_Tey,rv́
1220,"(reversive suffix, with minor variants parenthesized)",Bunoge,lv̀
1221,"(reversive suffix, with minor variants parenthesized)",Jamsay_Douentza,rv́
1222,"(reversive suffix, with minor variants parenthesized)",Najamba,l
1223,"(reversive suffix, with minor variants parenthesized)",Najamba,lɛ́
1224,"(reversive suffix, with minor variants parenthesized)",Nanga,rí
1225,"(reversive suffix, with minor variants parenthesized)",Penange,lv
1226,"(reversive suffix, with minor variants parenthesized)",Perge_Tegu,rv́
1227,"(reversive suffix, with minor variants parenthesized)",Tebul_Ure,lí
1228,"(reversive suffix, with minor variants parenthesized)",Tiranige,ló
1229,"(reversive suffix, with minor variants parenthesized)",Tiranige,lɔ́
1230,"(reversive suffix, with minor variants parenthesized)",Togo_Kan,rv
1231,"(reversive suffix, with minor variants parenthesized)",Tomo_Kan_Segue,lí
1232,"(reversive suffix, with minor variants parenthesized)",Toro_Tegu,rv́
1233,"(reversive suffix, with minor variants parenthesized)",Yanda_Dom,lv́
1234,"(reversive suffix, with minor variants parenthesized)",Yorno_So,lv́
1235,"(reversive suffix, with minor variants parenthesized)",Mombo,-le 
1236,"(reversive suffix, with minor variants parenthesized)",Mombo, -lɛ
1237,"(reversive suffix, with minor variants parenthesized)",Donno_So,-lv
1238,(sb or sth) be (somewhere),Ampari,bó
1239,(sb or sth) be (somewhere),Bankan_Tey,bù
1240,(sb or sth) be (somewhere),Ben_Tey,bù
1241,(sb or sth) be (somewhere),Bunoge,bò
1242,(sb or sth) be (somewhere),Dogul_Dom,bìyɛ́
1243,(sb or sth) be (somewhere),Mombo,bó:
1244,(sb or sth) be (somewhere),Mombo,túlá
1245,(sb or sth) be (somewhere),Najamba,bó
1246,(sb or sth) be (somewhere),Nanga,bù
1247,(sb or sth) be (somewhere),Penange,bó
1248,(sb or sth) be (somewhere),Tebul_Ure,bù
1249,(sb or sth) be (somewhere),Tiranige,bò
1250,(sb or sth) be (somewhere),Tiranige,wò
1251,(sb or sth) be (somewhere),Toro_Tegu,á dà
1252,(sb or sth) be (somewhere),Yanda_Dom,bò
1253,(sb or sth) be (somewhere),Donno_So,wɔ̀
1254,"(sb, mammal) bite (sb)",Ampari,dígò
1255,"(sb, mammal) bite (sb)",Bangime,támbà/táw̃à
1256,"(sb, mammal) bite (sb)",Bankan_Tey,kúwó
1257,"(sb, mammal) bite (sb)",Ben_Tey,kúwó
1258,"(sb, mammal) bite (sb)",Bunoge,núnjè
1259,"(sb, mammal) bite (sb)",Gourou,kɛ́rɛ́
1260,"(sb, mammal) bite (sb)",Jamsay_Douentza,cɛ́rɛ́
1261,"(sb, mammal) bite (sb)",Jamsay_Mondoro,cɛ́rɛ́
1262,"(sb, mammal) bite (sb)",Mombo,núŋgɛ́
1263,"(sb, mammal) bite (sb)",Najamba,kɛ́rɛ́
1264,"(sb, mammal) bite (sb)",Nanga,kúwó
1265,"(sb, mammal) bite (sb)",Penange,núŋgɛ́
1266,"(sb, mammal) bite (sb)",Perge_Tegu,kɛ́rɛ́
1267,"(sb, mammal) bite (sb)",Sangha_So,kɛ́rú
1268,"(sb, mammal) bite (sb)",Tebul_Ure,cɛ́rɛ́
1269,"(sb, mammal) bite (sb)",Tiranige,cɛ́rɔ́
1270,"(sb, mammal) bite (sb)",Togo_Kan,kɛ́rɛ́
1271,"(sb, mammal) bite (sb)",Tommo_So,kɛ́rɛ́
1272,"(sb, mammal) bite (sb)",Toro_Tegu,cɛ́rá
1273,"(sb, mammal) bite (sb)",Toro_Tegu,cɛ́rú
1274,"(sb, mammal) bite (sb)",Yanda_Dom,kɛ́dálì
1275,"(sb, mammal) bite (sb)",Yanda_Dom,kɛ́dɛ́
1276,"(sb, mammal) bite (sb)",Yorno_So,kɛ́rɛ́
1277,"(sb, mammal) bite (sb)",Donno_So,kɛ́rɛ̀
1278,"(sb, mammal) bite (sb)",Donno_So,kɛ́r-ɛ̀
1279,"(sb, sth) be on (e.g. roof, tree)",Jamsay_Douentza,nà:
1280,"(sb, sth) be on (e.g. roof, tree)",Jamsay_Mondoro,nà:
1281,"(sb, sth) be on (e.g. roof, tree)",Najamba,ságà
1282,"(sb, sth) be on (e.g. roof, tree)",Nanga,yá nàŋà
1283,"(sb, sth) be on (e.g. roof, tree)",Perge_Tegu,yá nàŋgà
1284,"(sb, sth) be on (e.g. roof, tree)",Tebul_Ure,yé nàŋgà
1285,"(sb, sth) be on (e.g. roof, tree)",Tiranige,dáŋgà
1286,"(sb, sth) be on (e.g. roof, tree)",Tiranige,dáŋgíyó
1287,"(sb, sth) be on (e.g. roof, tree)",Togo_Kan,náŋà
1288,"(sb, sth) be on (e.g. roof, tree)",Tommo_So,wɔ̂
1289,"(sb, sth) be on (e.g. roof, tree)",Yanda_Dom,yà nàŋá
1290,"(sb, sth) be on (e.g. roof, tree)",Yorno_So,yàŋà
1291,"(sb, sth) be on (e.g. roof, tree)",Dogul_Dom,yè náŋà
1292,"(sb, sth) be on (e.g. roof, tree)",Donno_So,rà: wɔ̀
1293,(sb) be (somewhere),Jamsay_Douentza,wɔ̀
1294,(sb) be (somewhere),Perge_Tegu,wɔ̀
1295,(sb) be (somewhere),Togo_Kan,wɔ̀
1296,(sb) be (somewhere),Tommo_So,kɔ̂
1297,(sb) be (somewhere),Tommo_So,wɔ̂
1298,(sb) be (somewhere),Yorno_So,wɔ̀
1299,"(sb) not be (somewhere), be absent (suffixed)",Bankan_Tey,ŋ̀gǒ:
1300,"(sb) not be (somewhere), be absent (suffixed)",Ben_Tey,ŋ̀gó
1301,"(sb) not be (somewhere), be absent (suffixed)",Bunoge,ʔórì
1302,"(sb) not be (somewhere), be absent (suffixed)",Dogul_Dom,bùnnú èlé
1303,"(sb) not be (somewhere), be absent (suffixed)",Jamsay_Douentza,wɔ̀:rɔ́
1304,"(sb) not be (somewhere), be absent (suffixed)",Mombo,ólì
1305,"(sb) not be (somewhere), be absent (suffixed)",Najamba,òndí
1306,"(sb) not be (somewhere), be absent (suffixed)",Najamba,òndú
1307,"(sb) not be (somewhere), be absent (suffixed)",Nanga,ŋ̀gó
1308,"(sb) not be (somewhere), be absent (suffixed)",Penange,wǒl
1309,"(sb) not be (somewhere), be absent (suffixed)",Perge_Tegu,ŋ̀gó
1310,"(sb) not be (somewhere), be absent (suffixed)",Tebul_Ure,ŋ̀gó
1311,"(sb) not be (somewhere), be absent (suffixed)",Togo_Kan,wɔ̀:rɔ́
1312,"(sb) not be (somewhere), be absent (suffixed)",Tommo_So,òndú
1313,"(sb) not be (somewhere), be absent (suffixed)",Toro_Tegu,yⁿáŋ̀gó
1314,"(sb) not be (somewhere), be absent (suffixed)",Yanda_Dom,ònú
1315,"(sb) not be (somewhere), be absent (suffixed)",Yorno_So,wɔ̀lɔ́
1316,"(sb) not be (somewhere), be absent (suffixed)",Donno_So,wɔ̀-lɔ́
1317,"(single) grain, seed, nut",Ampari,sêyⁿ
1318,"(single) grain, seed, nut",Bangime,bùrù
1319,"(single) grain, seed, nut",Bankan_Tey,ìsâ:
1320,"(single) grain, seed, nut",Ben_Tey,ìsâ:
1321,"(single) grain, seed, nut",Ben_Tey,yî:
1322,"(single) grain, seed, nut",Bunoge,sè:
1323,"(single) grain, seed, nut",Dogul_Dom,dèné
1324,"(single) grain, seed, nut",Dogul_Dom,sáỳ
1325,"(single) grain, seed, nut",Gourou,î:ⁿ
1326,"(single) grain, seed, nut",Jamsay_Douentza,sɛ̌yⁿ
1327,"(single) grain, seed, nut",Jamsay_Mondoro,sɛ̌yⁿ
1328,"(single) grain, seed, nut",Mombo,sí:
1329,"(single) grain, seed, nut",Najamba,sê:
1330,"(single) grain, seed, nut",Najamba,sê:ŋgò
1331,"(single) grain, seed, nut",Nanga,ǹjâ
1332,"(single) grain, seed, nut",Penange,sè:
1333,"(single) grain, seed, nut",Perge_Tegu,ìšɛ̌yⁿ
1334,"(single) grain, seed, nut",Sangha_So,ìì sáá
1335,"(single) grain, seed, nut",Tebul_Ure,íyɛ́
1336,"(single) grain, seed, nut",Tiranige,séŋgé
1337,"(single) grain, seed, nut",Togo_Kan,í:ⁿ
1338,"(single) grain, seed, nut",Tommo_So,ìsǎy
1339,"(single) grain, seed, nut",Tommo_So,íí
1340,"(single) grain, seed, nut",Tomo_Kan_Segue,mùʔìnì
1341,"(single) grain, seed, nut",Toro_Tegu,ìsɛ̌yⁿ
1342,"(single) grain, seed, nut",Yanda_Dom,é:
1343,"(single) grain, seed, nut",Yorno_So,î:
1344,"(single) grain, seed, nut",Donno_So,î:
1345,(snake) bite (sb),Bangime,táw̃á
1346,(snake) bite (sb),Bankan_Tey,kúwó
1347,(snake) bite (sb),Ben_Tey,kúwó
1348,(snake) bite (sb),Dogul_Dom,kɛ̀rɛ́
1349,(snake) bite (sb),Gourou,kɛ́rɛ́
1350,(snake) bite (sb),Jamsay_Douentza,cɛ́rɛ́
1351,(snake) bite (sb),Mombo,núŋgɛ́
1352,(snake) bite (sb),Najamba,kɛ́rɛ́
1353,(snake) bite (sb),Nanga,kúwó
1354,(snake) bite (sb),Perge_Tegu,kɛ́rɛ́
1355,(snake) bite (sb),Sangha_So,kɛ́rú
1356,(snake) bite (sb),Tiranige,cɛ́rɔ́
1357,(snake) bite (sb),Togo_Kan,kɛ́rɛ́
1358,(snake) bite (sb),Tommo_So,kɛ́rɛ́
1359,(snake) bite (sb),Toro_Tegu,cɛ́rá
1360,(snake) bite (sb),Toro_Tegu,cɛ́rú
1361,(snake) bite (sb),Yanda_Dom,kɛ́dálì
1362,(snake) bite (sb),Yanda_Dom,kɛ́dɛ́
1363,(snake) bite (sb),Yorno_So,kɛ́rɛ́
1364,(snake) bite (sb),Donno_So,kɛ́rɛ̀
1365,(snake) bite (sb),Donno_So,kɛ́r-ɛ̀
1366,(st) be (somewhere),Jamsay_Douentza,kɔ̀
1367,(st) be (somewhere),Perge_Tegu,kɔ̀
1368,(st) be (somewhere),Togo_Kan,kɔ̀
1369,(st) be (somewhere),Tommo_So,kɔ̂
1370,(st) be (somewhere),Yorno_So,kɔ̀
1371,(stative negative suffix or clitic),Ampari,ndá
1372,(stative negative suffix or clitic),Ben_Tey,=rá
1373,(stative negative suffix or clitic),Bunoge,=ndá
1374,(stative negative suffix or clitic),Jamsay_Douentza,=lá
1375,(stative negative suffix or clitic),Najamba,ndí
1376,(stative negative suffix or clitic),Nanga,=ǹdó
1377,(stative negative suffix or clitic),Penange,ndá
1378,(stative negative suffix or clitic),Tebul_Ure,=ndà:
1379,(stative negative suffix or clitic),Tiranige,nà
1380,(stative negative suffix or clitic),Togo_Kan,=lá
1381,(stative negative suffix or clitic),Tomo_Kan_Segue,lv̀
1382,(stative negative suffix or clitic),Toro_Tegu,ŋ̀gó
1383,(stative negative suffix or clitic),Yanda_Dom,ń
1384,(stative negative suffix or clitic),Yorno_So,=lá
1385,(stative negative suffix or clitic),Donno_So,-lv́
1386,"(stative positive of regular verb: tones, vocalism for e.g. CɔCɔ verb)",Jamsay_Douentza,î:
1387,"(stative positive of regular verb: tones, vocalism for e.g. CɔCɔ verb)",Toro_Tegu,dà
1388,"(sth) not exist, there is/are not",Bangime,béè
1389,"(sth) not exist, there is/are not",Bankan_Tey,ŋ̀gǒ:
1390,"(sth) not exist, there is/are not",Ben_Tey,ŋ̀gó
1391,"(sth) not exist, there is/are not",Bunoge,ʔórì
1392,"(sth) not exist, there is/are not",Dogul_Dom,bùnnù
1393,"(sth) not exist, there is/are not",Gourou,kɔ̀:rɔ́
1394,"(sth) not exist, there is/are not",Jamsay_Douentza,kɔ̀:rɔ́
1395,"(sth) not exist, there is/are not",Jamsay_Mondoro,kɔ̀:rɔ́
1396,"(sth) not exist, there is/are not",Mombo,kóná:ⁿ ólì
1397,"(sth) not exist, there is/are not",Najamba,òndí
1398,"(sth) not exist, there is/are not",Najamba,òndú
1399,"(sth) not exist, there is/are not",Nanga,ŋ̀gó
1400,"(sth) not exist, there is/are not",Penange,wǒl
1401,"(sth) not exist, there is/are not",Perge_Tegu,ŋ̀gó
1402,"(sth) not exist, there is/are not",Tebul_Ure,ŋ̀gó
1403,"(sth) not exist, there is/are not",Togo_Kan,kɔ̀:rɔ́
1404,"(sth) not exist, there is/are not",Tommo_So,òndú
1405,"(sth) not exist, there is/are not",Tommo_So,tòòlɛ́
1406,"(sth) not exist, there is/are not",Toro_Tegu,yⁿáŋ̀gó
1407,"(sth) not exist, there is/are not",Yanda_Dom,ònú
1408,"(sth) not exist, there is/are not",Yorno_So,kɔ̀lɔ́
1409,"(sth) not exist, there is/are not",Donno_So,wɔ̀-lɔ́
1410,"(transitive verbal derivational suffix, often opposed to mediopassive)",Ampari,dò
1411,"(transitive verbal derivational suffix, often opposed to mediopassive)",Ben_Tey,rv́
1412,"(transitive verbal derivational suffix, often opposed to mediopassive)",Bunoge,rv̀
1413,"(transitive verbal derivational suffix, often opposed to mediopassive)",Najamba,r
1414,"(transitive verbal derivational suffix, often opposed to mediopassive)",Najamba,rɛ́
1415,"(transitive verbal derivational suffix, often opposed to mediopassive)",Nanga,rí
1416,"(transitive verbal derivational suffix, often opposed to mediopassive)",Penange,rv
1417,"(transitive verbal derivational suffix, often opposed to mediopassive)",Perge_Tegu,rv́
1418,"(transitive verbal derivational suffix, often opposed to mediopassive)",Tebul_Ure,rí
1419,"(transitive verbal derivational suffix, often opposed to mediopassive)",Tiranige,ró
1420,"(transitive verbal derivational suffix, often opposed to mediopassive)",Tiranige,rɔ́
1421,"(transitive verbal derivational suffix, often opposed to mediopassive)",Togo_Kan,rv
1422,"(transitive verbal derivational suffix, often opposed to mediopassive)",Tomo_Kan_Segue,rí
1423,"(transitive verbal derivational suffix, often opposed to mediopassive)",Yanda_Dom,dv́
1424,"(transitive verbal derivational suffix, often opposed to mediopassive)",Yorno_So,rv́
1425,"(transitive verbal derivational suffix, often opposed to mediopassive)",Mombo,-rɛ̀ 
1426,"(transitive verbal derivational suffix, often opposed to mediopassive)",Mombo, -rè
1427,"(transitive verbal derivational suffix, often opposed to mediopassive)",Donno_So,-rv
1428,(verbal noun suffix),Ampari,ri
1429,(verbal noun suffix),Ben_Tey,î:
1430,(verbal noun suffix),Ben_Tey,ỳ
1431,(verbal noun suffix),Bunoge,nà
1432,(verbal noun suffix),Jamsay_Douentza,gú
1433,(verbal noun suffix),Jamsay_Douentza,ý
1434,(verbal noun suffix),Jamsay_Douentza,ú
1435,(verbal noun suffix),Najamba,lé
1436,(verbal noun suffix),Najamba,ń
1437,(verbal noun suffix),Najamba,ndá:
1438,(verbal noun suffix),Nanga,ndɛ́
1439,(verbal noun suffix),Penange,l
1440,(verbal noun suffix),Perge_Tegu,gú
1441,(verbal noun suffix),Perge_Tegu,ý
1442,(verbal noun suffix),Perge_Tegu,ú
1443,(verbal noun suffix),Tebul_Ure,lé
1444,(verbal noun suffix),Tiranige,wà
1445,(verbal noun suffix),Togo_Kan,í
1446,(verbal noun suffix),Togo_Kan,ú
1447,(verbal noun suffix),Tomo_Kan_Segue,sɛ́ⁿ
1448,(verbal noun suffix),Toro_Tegu,rěŋ
1449,(verbal noun suffix),Toro_Tegu,ú
1450,(verbal noun suffix),Yanda_Dom,ỳ
1451,(verbal noun suffix),Yanda_Dom,lé
1452,(verbal noun suffix),Yanda_Dom,ù
1453,(verbal noun suffix),Yorno_So,ý
1454,(verbal noun suffix),Yorno_So,ú
1455,(verbal noun suffix),Donno_So,-du
1456,"(water, grain, etc.) be in (container)",Jamsay_Douentza,yɔ́≡kùn
1457,"(water, grain, etc.) be in (container)",Najamba,gánà
1458,"(water, grain, etc.) be in (container)",Nanga,yá gàrⁿà
1459,"(water, grain, etc.) be in (container)",Perge_Tegu,yá≡kùn
1460,"(water, grain, etc.) be in (container)",Tebul_Ure,yé gàrⁿà
1461,"(water, grain, etc.) be in (container)",Yanda_Dom,yà kún
1462,"(water, grain, etc.) be in (container)",Yanda_Dom,kùn
1463,"(water, grain, etc.) be in (container)",Yorno_So,yá tò
1464,above (sth),Ampari,kó: gà
1465,above (sth),Bankan_Tey,ḿbárù wò
1466,above (sth),Ben_Tey,wò
1467,above (sth),Bunoge,mbà
1468,above (sth),Jamsay_Douentza,mà máná lé
1469,above (sth),Mombo,kó:ná ńdà
1470,above (sth),Najamba,mà
1471,above (sth),Nanga,gà
1472,above (sth),Penange,dálà bà
1473,above (sth),Perge_Tegu,wà kù:kɛ́lɛ̀
1474,above (sth),Tebul_Ure,nɛ̀
1475,above (sth),Tiranige,ŋà
1476,above (sth),Togo_Kan,kûⁿ
1477,above (sth),Tommo_So,dáá nɛ
1478,above (sth),Tommo_So,kúú nɛ
1479,above (sth),Toro_Tegu,tùŋɔ̀
1480,above (sth),Yanda_Dom,nà
1481,above (sth),Yorno_So,nɛ̀
1482,above (sth),Dogul_Dom,dànà-ŋ̀ dà:
1483,above (sth),Donno_So,dà: rà:
1484,African eggplant (similar to tomato) in two varieties,Bangime,tàŋkó
1485,African eggplant (similar to tomato) in two varieties,Bankan_Tey,cɛ́wrɛ́
1486,African eggplant (similar to tomato) in two varieties,Ben_Tey,cɛ́wrɛ́
1487,African eggplant (similar to tomato) in two varieties,Bunoge,têw
1488,African eggplant (similar to tomato) in two varieties,Dogul_Dom,kɛ́lɛ̀bɛ̀
1489,African eggplant (similar to tomato) in two varieties,Gourou,kɛ́rúwɛ́
1490,African eggplant (similar to tomato) in two varieties,Jamsay_Douentza,cɛ́rɛ́wɛ́
1491,African eggplant (similar to tomato) in two varieties,Jamsay_Mondoro,cɛ́rɛ́wɛ́
1492,African eggplant (similar to tomato) in two varieties,Mombo,kélyé
1493,African eggplant (similar to tomato) in two varieties,Najamba,kɛ́lbɛ́
1494,African eggplant (similar to tomato) in two varieties,Najamba,kɛ́lbɛ́ŋgó
1495,African eggplant (similar to tomato) in two varieties,Nanga,kɛ́wrɛ́
1496,African eggplant (similar to tomato) in two varieties,Penange,kɛ́lbɛ́
1497,African eggplant (similar to tomato) in two varieties,Perge_Tegu,kɛ́wrɛ́
1498,African eggplant (similar to tomato) in two varieties,Sangha_So,kɛ́líjɛ́
1499,African eggplant (similar to tomato) in two varieties,Tebul_Ure,kɛ́lbá
1500,African eggplant (similar to tomato) in two varieties,Tiranige,cɛ̀llɛ́
1501,African eggplant (similar to tomato) in two varieties,Togo_Kan,kɛ́wɛ́rɛ́
1502,African eggplant (similar to tomato) in two varieties,Tommo_So,ànsààrà kɛ́lbɛ̀
1503,African eggplant (similar to tomato) in two varieties,Tomo_Kan_Segue,cɛ́:lɛ́
1504,African eggplant (similar to tomato) in two varieties,Toro_Tegu,kɛ́rɛ́bɛ́rɛ́
1505,African eggplant (similar to tomato) in two varieties,Yanda_Dom,cɛ́lbá
1506,African eggplant (similar to tomato) in two varieties,Yorno_So,kɛ́lbɛ́
1507,African eggplant (similar to tomato) in two varieties,Donno_So,kɛ́lɛ̀
1508,"all, every",Ampari,sáw
1509,"all, every",Bangime,páⁿ
1510,"all, every",Bankan_Tey,bê:
1511,"all, every",Ben_Tey,dàⁿwôy
1512,"all, every",Ben_Tey,dòwôy
1513,"all, every",Ben_Tey,náŋànà:
1514,"all, every",Ben_Tey,náŋnà:
1515,"all, every",Ben_Tey,cɛ̂m
1516,"all, every",Ben_Tey,cɛ̂w
1517,"all, every",Ben_Tey,wôy
1518,"all, every",Bunoge,kúndú
1519,"all, every",Bunoge,sàkáy
1520,"all, every",Dogul_Dom,fú
1521,"all, every",Gourou,kɛ̂w
1522,"all, every",Jamsay_Douentza,fú:
1523,"all, every",Jamsay_Douentza,sóy
1524,"all, every",Jamsay_Douentza,cɛ̂w
1525,"all, every",Jamsay_Mondoro,fú:
1526,"all, every",Mombo,sélè:
1527,"all, every",Najamba,dîn
1528,"all, every",Nanga,bé:ndè
1529,"all, every",Nanga,bú
1530,"all, every",Nanga,fú
1531,"all, every",Nanga,kéréw
1532,"all, every",Nanga,pɔ́s
1533,"all, every",Nanga,pú
1534,"all, every",Penange,sèlè
1535,"all, every",Perge_Tegu,kéréw
1536,"all, every",Perge_Tegu,kɛ̂w
1537,"all, every",Perge_Tegu,pú
1538,"all, every",Sangha_So,pùú
1539,"all, every",Tiranige,címà
1540,"all, every",Togo_Kan,sâⁿ
1541,"all, every",Tommo_So,kɛ́m
1542,"all, every",Toro_Tegu,kěylèyà:fú:
1543,"all, every",Toro_Tegu,kǒwlèyà:fú:
1544,"all, every",Toro_Tegu,cěwlà:fú:
1545,"all, every",Toro_Tegu,cɛ̌yyà:fú:
1546,"all, every",Yanda_Dom,pú
1547,"all, every",Yanda_Dom,cɛ̂m
1548,"all, every",Yorno_So,pú
1549,"all, every",Tebul_Ure,pú→
1550,"all, every",Donno_So,wôy
1551,"all, every",Donno_So,fû→
1552,"all, every",Donno_So,pû→
1553,"all, every",Donno_So,sɛ́:nɛ̀ŋ
1554,"all, every",Donno_So,nànâŋ
1555,"also, too",Ampari,be
1556,"also, too",Bankan_Tey,kálà
1557,"also, too",Ben_Tey,yà
1558,"also, too",Ben_Tey,kálà
1559,"also, too",Bunoge,fè
1560,"also, too",Dogul_Dom,là
1561,"also, too",Jamsay_Douentza,kâ:ⁿ
1562,"also, too",Mombo,ɛ̀:lá
1563,"also, too",Mombo,là
1564,"also, too",Najamba,là
1565,"also, too",Nanga,yáŋá
1566,"also, too",Penange,pé
1567,"also, too",Perge_Tegu,kálà
1568,"also, too",Tiranige,là
1569,"also, too",Togo_Kan,kàrⁿà
1570,"also, too",Togo_Kan,kâⁿ
1571,"also, too",Tommo_So,lɛ́
1572,"also, too",Toro_Tegu,mánì
1573,"also, too",Yanda_Dom,là
1574,"also, too",Yorno_So,kàrⁿà
1575,"also, too",Tebul_Ure,là
1576,"also, too",Donno_So,lè
1577,"and (X and Y, nouns)",Bunoge,yà Y yà
1578,"and (X and Y, nouns)",Dogul_Dom,yàŋ Y yàŋ
1579,"and (X and Y, nouns)",Mombo,ńdô:
1580,"and (X and Y, nouns)",Tommo_So,le le
1581,"and (X and Y, nouns)",Penange,nì
1582,"and (X and Y, nouns)",Penange,nì
1583,"and (X and Y, nouns)",Ampari,róró
1584,"and (X and Y, nouns)",Najamba,ma:
1585,"and (X and Y, nouns)",Najamba,ma:
1586,"and (X and Y, nouns)",Yanda_Dom,mì→
1587,"and (X and Y, nouns)",Yanda_Dom,mì→
1588,and then ... (past-time different-subject anterior subordinator),Ben_Tey,=ǹ
1589,and then ... (past-time different-subject anterior subordinator),Ben_Tey,=nì
1590,and then ... (past-time different-subject anterior subordinator),Jamsay_Douentza,jɛ́ mèyⁿ
1591,and then ... (past-time different-subject anterior subordinator),Jamsay_Douentza,gá: kân
1592,and then ... (past-time different-subject anterior subordinator),Najamba,jɛ̂:
1593,and then ... (past-time different-subject anterior subordinator),Nanga,nà
1594,and then ... (past-time different-subject anterior subordinator),Nanga,náŋà
1595,and then ... (past-time different-subject anterior subordinator),Nanga,náŋàyⁿ
1596,and then ... (past-time different-subject anterior subordinator),Nanga,nâ:yⁿ
1597,and then ... (past-time different-subject anterior subordinator),Perge_Tegu,gâ:
1598,and then ... (past-time different-subject anterior subordinator),Tebul_Ure,kánà
1599,and then ... (past-time different-subject anterior subordinator),Togo_Kan,gíǹ dè
1600,and then ... (past-time different-subject anterior subordinator),Togo_Kan,kɛ́rⁿɛ̀
1601,and then ... (past-time different-subject anterior subordinator),Togo_Kan,kɛ̂:ⁿ
1602,and then ... (past-time different-subject anterior subordinator),Togo_Kan,ǹ dè
1603,and then ... (past-time different-subject anterior subordinator),Yanda_Dom,do
1604,and then ... (past-time different-subject anterior subordinator),Donno_So,-a:
1605,and then (past-time same-subject anterior subordinator),Ampari,é
1606,and then (past-time same-subject anterior subordinator),Ben_Tey,=ń
1607,and then (past-time same-subject anterior subordinator),Ben_Tey,=ní
1608,and then (past-time same-subject anterior subordinator),Jamsay_Douentza,màyⁿ
1609,and then (past-time same-subject anterior subordinator),Jamsay_Douentza,mèyⁿ
1610,and then (past-time same-subject anterior subordinator),Najamba,nɛ̀
1611,and then (past-time same-subject anterior subordinator),Nanga,ŋ
1612,and then (past-time same-subject anterior subordinator),Perge_Tegu,wàyⁿ
1613,and then (past-time same-subject anterior subordinator),Tebul_Ure,gín
1614,and then (past-time same-subject anterior subordinator),Togo_Kan,e:
